#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2017-05-08 06:55:51
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2017-05-08 07:04:20 ::1 GET /AjaxCall/GetCompanyList/ - 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.81+Safari/537.36 http://localhost:51722/User 200 0 64 5860
2017-05-08 07:04:20 ::1 GET /User/GetAllEnabledTransactionMappingAccorssAllRoles _=1494227061093 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.81+Safari/537.36 http://localhost:51722/User/Edit/277 200 0 0 164
2017-05-08 07:04:20 ::1 GET /AjaxCall/GetCompanyList/ _=1494227061283 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.81+Safari/537.36 http://localhost:51722/User/Edit/277 200 0 0 191
2017-05-08 07:04:20 ::1 GET /AjaxCall/GetBusinessUnitList/ CompanyId=11&_=1494227061481 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.81+Safari/537.36 http://localhost:51722/User/Edit/277 200 0 0 74
2017-05-08 07:04:20 ::1 GET /__browserLink/requestData/84f08e39b2db48ff9f9ee86257aa247d version=2 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.81+Safari/537.36 http://localhost:51722/User/Edit/277 200 0 0 92
2017-05-08 07:04:20 ::1 GET /AjaxCall/GetCostCenterList/ CompanyId=11&BusinessUnitId=34&_=1494227061560 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.81+Safari/537.36 http://localhost:51722/User/Edit/277 200 0 0 192
2017-05-08 07:04:22 ::1 GET /User/GetProjectConfigurationLabelInfo RoleId=41&_=1494227061284 51722 - ::1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.81+Safari/537.36 http://localhost:51722/User/Edit/277 200 0 0 747
#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2017-05-08 07:35:49
